"flt_id"	"fltNum"	"depStn"	"arrStn"	"utcSTD"	"utcSTA"	"cancelled"	"utcEstOUT"	"utcEstIN"	"utcATD"	"utcATA"	"first"	"business"	"coach"	"ac_registration"
"FL-EK-0057-20161228-DXB-DUS-0"	"0057"	"DXB"	"DUS"	2016-12-28 10:40:00	2016-12-28 17:55:00	"false"	2016-12-28 10:40:00	2016-12-28 17:55:00	NA	NA	5	5	180	"A0WNM"
"FL-EK-0323-20161227-ICN-DXB-0"	"0323"	"ICN"	"DXB"	2016-12-27 14:50:00	2016-12-28 01:00:00	"false"	2016-12-27 14:50:00	2016-12-28 01:00:00	NA	NA	2	68	394	"A0WLF"
"FL-EK-0867-20161227-MCT-DXB-0"	"0867"	"MCT"	"DXB"	2016-12-27 00:55:00	2016-12-27 02:05:00	"false"	2016-12-27 00:55:00	2016-12-27 02:05:00	2016-12-27 00:55:00	2016-12-27 02:05:00	0	7	95	"A0WWZ"
"FL-EK-0842-20161230-DOH-DXB-0"	"0842"	"DOH"	"DXB"	2016-12-30 06:50:00	2016-12-30 08:00:00	"false"	2016-12-30 06:50:00	2016-12-30 08:00:00	NA	NA	1	8	318	"A0WVN"
"FL-EK-0012-20161229-LGW-DXB-0"	"0012"	"LGW"	"DXB"	2016-12-29 09:40:00	2016-12-29 16:35:00	"false"	2016-12-29 09:40:00	2016-12-29 16:35:00	NA	NA	8	74	423	"A0WLT"
"FL-EK-0318-20161229-DXB-NRT-0"	"0318"	"DXB"	"NRT"	2016-12-29 22:55:00	2016-12-30 08:20:00	"false"	2016-12-29 22:55:00	2016-12-30 08:20:00	NA	NA	4	28	201	"A0WDB"
"FL-EK-0784-20161227-LOS-DXB-0"	"0784"	"LOS"	"DXB"	2016-12-27 17:35:00	2016-12-28 01:05:00	"false"	2016-12-27 17:35:00	2016-12-28 01:05:00	NA	NA	2	41	263	"A0WGY"
"FL-EK-0503-20161227-BOM-DXB-0"	"0503"	"BOM"	"DXB"	2016-12-27 13:40:00	2016-12-27 16:55:00	"false"	2016-12-27 13:40:00	2016-12-27 16:55:00	NA	NA	8	42	306	"A0WMP"
"FL-EK-0654-20161229-DXB-CMB-0"	"0654"	"DXB"	"CMB"	2016-12-29 05:05:00	2016-12-29 09:20:00	"false"	2016-12-29 05:05:00	2016-12-29 09:20:00	NA	NA	6	38	285	"A0WGP"
"FL-EK-0793-20161229-DXB-LAD-0"	"0793"	"DXB"	"LAD"	2016-12-29 06:10:00	2016-12-29 14:10:00	"false"	2016-12-29 06:10:00	2016-12-29 14:10:00	NA	NA	2	19	146	"A0WGI"
