"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WWT","EK0094","BLQ","DXB","12/27/2016 13:30","12/27/2016 19:20","12/27/2016 13:30","12/27/2016 19:20","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WVI","EK0097","DXB","FCO","12/27/2016 05:00","12/27/2016 11:40","12/27/2016 05:00","12/27/2016 11:40","delayed"
"A0WVI","EK0098","FCO","DXB","12/27/2016 13:55","12/27/2016 19:50","12/27/2016 13:55","12/27/2016 19:50","delayed"
"A0WMC","EK0105","DXB","ATH","12/27/2016 05:50","12/27/2016 11:15","12/27/2016 05:50","12/27/2016 11:15","delayed"
"A0WMC","EK0106","ATH","DXB","12/27/2016 13:25","12/27/2016 18:05","12/27/2016 13:25","12/27/2016 18:05","delayed"
