flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0413-20161231-CHC-SYD-0,413,CHC,SYD,31/12/2016 05:45,31/12/2016 09:05,FALSE,31/12/2016 05:45,31/12/2016 09:05,NA,NA,3,10,150,A0WNO
FL-EK-0345-20161229-KUL-DXB-0,345,KUL,DXB,29/12/2016 02:15,29/12/2016 09:20,FALSE,29/12/2016 02:15,29/12/2016 09:20,NA,NA,0,26,201,A0WWT
FL-EK-0043-20161228-DXB-FRA-0,43,DXB,FRA,28/12/2016 23:20,29/12/2016 06:35,FALSE,28/12/2016 23:20,29/12/2016 06:35,NA,NA,0,9,235,A0WGO
FL-EK-0229-20161231-DXB-SEA-0,229,DXB,SEA,31/12/2016 05:25,31/12/2016 20:05,FALSE,31/12/2016 05:25,31/12/2016 20:05,NA,NA,2,22,295,A0WMR
FL-EK-0863-20161230-MCT-DXB-0,863,MCT,DXB,30/12/2016 06:50,30/12/2016 07:55,FALSE,30/12/2016 06:50,30/12/2016 07:55,NA,NA,0,20,276,A0WBY
FL-EK-0012-20161231-LGW-DXB-0,12,LGW,DXB,31/12/2016 09:40,31/12/2016 16:35,FALSE,31/12/2016 09:40,31/12/2016 16:35,NA,NA,5,67,364,A0WLZ
FL-EK-0544-20161230-DXB-MAA-0,544,DXB,MAA,30/12/2016 22:50,31/12/2016 02:45,FALSE,30/12/2016 22:50,31/12/2016 02:45,NA,NA,9,30,299,A0WWG
FL-EK-0122-20161227-IST-DXB-0,122,IST,DXB,27/12/2016 17:05,27/12/2016 21:20,FALSE,27/12/2016 17:05,27/12/2016 21:20,NA,NA,0,34,287,A0WDN
FL-EK-0212-20161227-IAH-DXB-0,212,IAH,DXB,27/12/2016 00:40,27/12/2016 15:20,FALSE,27/12/2016 00:40,27/12/2016 15:20,27/12/2016 00:40,NA,4,41,295,A0WMJ
FL-EK-0419-20161230-SYD-BKK-0,419,SYD,BKK,30/12/2016 08:50,30/12/2016 18:10,FALSE,30/12/2016 08:50,30/12/2016 18:10,NA,NA,3,10,150,A0WFW
FL-EK-0583-20161229-DAC-DXB-0,583,DAC,DXB,29/12/2016 05:50,29/12/2016 11:15,FALSE,29/12/2016 05:50,29/12/2016 11:15,NA,NA,0,23,371,A0WGG
FL-EK-0901-20161227-DXB-AMM-0,901,DXB,AMM,27/12/2016 04:00,27/12/2016 07:40,FALSE,27/12/2016 04:00,27/12/2016 07:40,27/12/2016 04:00,27/12/2016 07:40,1,31,217,A0WIK
FL-EK-0201-20161230-DXB-JFK-0,201,DXB,JFK,30/12/2016 04:30,30/12/2016 18:55,FALSE,30/12/2016 04:30,30/12/2016 18:55,NA,NA,9,47,371,A0WLH
FL-EK-0214-20161231-FLL-DXB-0,214,FLL,DXB,31/12/2016 01:20,31/12/2016 15:40,FALSE,31/12/2016 01:20,31/12/2016 15:40,NA,NA,5,31,205,A0WIU
FL-EK-0624-20161230-DXB-LHE-0,624,DXB,LHE,30/12/2016 02:55,30/12/2016 05:45,FALSE,30/12/2016 02:55,30/12/2016 05:45,NA,NA,0,33,357,A0WWR
FL-EK-0054-20161231-MUC-DXB-0,54,MUC,DXB,31/12/2016 09:10,31/12/2016 15:10,FALSE,31/12/2016 09:10,31/12/2016 15:10,NA,NA,3,26,362,A0WNR
FL-EK-0214-20161227-FLL-DXB-0,214,FLL,DXB,27/12/2016 01:20,27/12/2016 15:40,FALSE,27/12/2016 01:20,27/12/2016 15:40,27/12/2016 01:20,NA,3,39,211,A0WIR
FL-EK-0432-20161230-DXB-SIN-0,432,DXB,SIN,30/12/2016 22:35,31/12/2016 05:45,FALSE,30/12/2016 22:35,31/12/2016 05:45,NA,NA,5,24,129,A0WGA
FL-EK-0841-20161227-DXB-DOH-0,841,DXB,DOH,27/12/2016 03:45,27/12/2016 05:05,FALSE,27/12/2016 03:45,27/12/2016 05:05,27/12/2016 03:45,27/12/2016 05:05,0,16,108,A0WVT
FL-EK-0604-20161231-DXB-KHI-0,604,DXB,KHI,31/12/2016 21:05,31/12/2016 23:05,FALSE,31/12/2016 21:05,31/12/2016 23:05,NA,NA,0,15,351,A0WWQ
FL-EK-0008-20161230-LHR-DXB-0,8,LHR,DXB,30/12/2016 09:10,30/12/2016 16:00,FALSE,30/12/2016 09:10,30/12/2016 16:00,NA,NA,14,76,418,A0WLR
FL-EK-0036-20161227-NCL-DXB-0,36,NCL,DXB,27/12/2016 13:00,27/12/2016 20:15,FALSE,27/12/2016 13:00,27/12/2016 20:15,NA,NA,0,42,384,A0WWO
FL-EK-0081-20161228-DXB-LYS-0,81,DXB,LYS,28/12/2016 10:50,28/12/2016 18:05,FALSE,28/12/2016 10:50,28/12/2016 18:05,NA,NA,0,20,295,A0WWK
FL-EK-0304-20161228-DXB-PVG-0,304,DXB,PVG,28/12/2016 05:15,28/12/2016 13:05,FALSE,28/12/2016 05:15,28/12/2016 13:05,NA,NA,0,11,158,A0WIG
FL-EK-0418-20161230-SYD-AKL-0,418,SYD,AKL,30/12/2016 23:40,31/12/2016 02:55,FALSE,30/12/2016 23:40,31/12/2016 02:55,NA,NA,7,80,718,A0WLB
FL-EK-0567-20161231-BLR-DXB-0,567,BLR,DXB,31/12/2016 14:35,31/12/2016 18:50,FALSE,31/12/2016 14:35,31/12/2016 18:50,NA,NA,2,33,290,A0WMF
FL-EK-0111-20161230-DXB-BUD-0,111,DXB,BUD,30/12/2016 04:25,30/12/2016 10:40,FALSE,30/12/2016 04:25,30/12/2016 10:40,NA,NA,0,19,112,A0WBL
FL-EK-0404-20161231-SIN-MEL-0,404,SIN,MEL,31/12/2016 14:40,31/12/2016 21:50,FALSE,31/12/2016 14:40,31/12/2016 21:50,NA,NA,2,24,193,A0WNK
FL-EK-0435-20161230-AKL-BNE-0,435,AKL,BNE,30/12/2016 05:10,30/12/2016 09:00,FALSE,30/12/2016 05:10,30/12/2016 09:00,NA,NA,3,10,150,A0WLA
FL-EK-0029-20161227-DXB-LHR-0,29,DXB,LHR,27/12/2016 05:40,27/12/2016 13:50,FALSE,27/12/2016 05:40,27/12/2016 13:50,27/12/2016 05:40,NA,12,67,403,A0WLS
FL-EK-0773-20161231-CPT-DXB-0,773,CPT,DXB,31/12/2016 11:25,31/12/2016 21:10,FALSE,31/12/2016 11:25,31/12/2016 21:10,NA,NA,0,38,367,A0WCF
FL-EK-0841-20161231-DXB-DOH-0,841,DXB,DOH,31/12/2016 03:45,31/12/2016 05:05,FALSE,31/12/2016 03:45,31/12/2016 05:05,NA,NA,0,26,83,A0WVD
FL-EK-0214-20161229-FLL-DXB-0,214,FLL,DXB,29/12/2016 01:20,29/12/2016 15:40,FALSE,29/12/2016 01:20,29/12/2016 15:40,NA,NA,8,41,215,A0WIH
FL-EK-0387-20161227-HKG-DXB-0,387,HKG,DXB,27/12/2016 23:35,28/12/2016 08:35,FALSE,27/12/2016 23:35,28/12/2016 08:35,NA,NA,1,7,95,A0WGN
FL-EK-0107-20161229-DXB-LCA-0,107,DXB,LCA,29/12/2016 03:50,29/12/2016 08:20,FALSE,29/12/2016 03:50,29/12/2016 08:20,NA,NA,8,22,81,A0WCU
FL-EK-0379-20161227-HKT-DXB-0,379,HKT,DXB,27/12/2016 17:50,28/12/2016 00:30,FALSE,27/12/2016 17:50,28/12/2016 00:30,NA,NA,0,35,261,A0WMY
FL-EK-0865-20161229-MCT-DXB-0,865,MCT,DXB,29/12/2016 15:10,29/12/2016 16:15,FALSE,29/12/2016 15:10,29/12/2016 16:15,NA,NA,0,34,189,A0WIG
FL-EK-0027-20161230-DXB-GLA-0,27,DXB,GLA,30/12/2016 03:20,30/12/2016 11:30,FALSE,30/12/2016 03:20,30/12/2016 11:30,NA,NA,3,35,225,A0WWN
FL-EK-0509-20161229-BOM-DXB-0,509,BOM,DXB,29/12/2016 16:30,29/12/2016 19:55,FALSE,29/12/2016 16:30,29/12/2016 19:55,NA,NA,2,42,209,A0WIK
