name,value
OPS_KPI_ONTIME_PERFORMANCE_120_179_COUNT,1
OPS_KPI_ONTIME_PERFORMANCE_1_3_COUNT,0
OPS_DELAYED_FLIGHT_DOM_EXP_COUNT,0
OPS_KPI_ONTIME_PERFORMANCE_4_14_COUNT,0
OPS_COST_PAX_COMPENSATION,0
OPS_DELAYED_FLIGHT_INT_MAIN_COUNT,3
OPS_KPI_PAX_DELAY_120_179_PERCENT,9.425287356321839
OPS_KPI_ONTIME_PERFORMANCE_60_119_COUNT,2
OPS_DELAYED_FLIGHT_INT_MAIN_15_30_COUNT,0
OPS_DELAYED_FLIGHT_DOM_MAIN_GREATER_60_COUNT,0
OPS_DELAYED_FLIGHT_INT_MAIN_15_30_PAX_COUNT,0
OPS_CANCELLED_FLIGHT_DOM_MAIN_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_1_14_PAX_COUNT,0
OPS_COST_AIRCRAFT_SWAP,0
OPS_DELAYED_FLIGHT_DOM_MAIN_31_60_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_31_60_PAX_COUNT,0
OPS_DELAYED_FLIGHT_INT_MAIN_31_60_PAX_COUNT,0
OPS_KPI_ONTIME_PERFORMANCE_240_299_COUNT,0
OPS_KPI_PAX_DELAY_1_3_PERCENT,0
OPS_KPI_PAX_DELAY_240_299_PERCENT,0
OPS_KPI_TOTAL_REROUTED_AIRCRAFT_COUNT,0
OPS_DELAYED_FLIGHT_INT_MAIN_PAX_COUNT,395
OPS_KPI_PAX_DELAY_15_29_COUNT,0
OPS_KPI_TOTAL_DENIED_BOARDINGS_COUNT,0
OPS_CANCELLED_FLIGHT_INT_MAIN_PAX_COUNT,0
OPS_DELAYED_FLIGHT_DOM_EXP_1_14_PAX_COUNT,0
OPS_KPI_PAX_DELAY_30_59_COUNT,0
OPS_COST_DISRUPTED_PAX_MEAL,0
OPS_COST_DENIED_BOARDINGS,0
OPS_DELAYED_FLIGHT_DOM_MAIN_PAX_COUNT,0
OPS_DELAYED_FLIGHT_DOM_EXP_GREATER_60_COUNT,0
OPS_COST_DISRUPTED_PAX_HOTEL,0
OPS_KPI_PAX_DELAY_GREATER_300_PERCENT,0
OPS_DELAYED_FLIGHT_INT_EXP_15_30_COUNT,0
OPS_KPI_PAX_DELAY_120_179_COUNT,123
OPS_DELAYED_FLIGHT_DOM_EXP_31_60_PAX_COUNT,0
OPS_KPI_PAX_DELAY_240_299_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_GREATER_60_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_GREATER_60_PAX_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_PAX_COUNT,0
OPS_DELAYED_FLIGHT_INT_EXP_31_60_COUNT,0
OPS_KPI_PAX_DELAY_180_239_PERCENT,0
OPS_DELAYED_FLIGHT_INT_MAIN_31_60_COUNT,0
OPS_COST_SOLUTION,0
OPS_DELAYED_FLIGHT_DOM_EXP_15_30_COUNT,0
OPS_CANCELLED_FLIGHT_DOM_EXP_PAX_COUNT,0
OPS_DELAYED_FLIGHT_DOM_MAIN_1_14_PAX_COUNT,0
OPS_KPI_PAX_DELAY_60_119_COUNT,272
TOTAL_DOM_FLIGHTS_CONNECTING_FROM_CANCELLED_FLIGHTS,
TOTAL_DOM_FLIGHTS_CONNECTING_TO_CANCELLED_FLIGHTS,
TOTAL_DOM_PASSENGERS_CONNECTING_FROM_CANCELLED_FLIGHTS,
TOTAL_DOM_PASSENGERS_CONNECTING_TO_CANCELLED_FLIGHTS,
TOTAL_INT_FLIGHTS_CONNECTING_FROM_CANCELLED_FLIGHTS,
TOTAL_INT_FLIGHTS_CONNECTING_TO_CANCELLED_FLIGHTS,
TOTAL_INT_PASSENGERS_CONNECTING_FROM_CANCELLED_FLIGHTS,
TOTAL_INT_PASSENGERS_CONNECTING_TO_CANCELLED_FLIGHTS,
TOTAL_DOM_FLIGHTS_CONNECTING_FROM_DELAYED_FLIGHTS,0
TOTAL_DOM_FLIGHTS_CONNECTING_TO_DELAYED_FLIGHTS,0
TOTAL_DOM_PASSENGERS_CONNECTING_FROM_DELAYED_FLIGHTS,0
TOTAL_DOM_PASSENGERS_CONNECTING_TO_DELAYED_FLIGHTS,0
TOTAL_INT_FLIGHTS_CONNECTING_FROM_DELAYED_FLIGHTS,0
TOTAL_INT_FLIGHTS_CONNECTING_TO_DELAYED_FLIGHTS,0
TOTAL_INT_PASSENGERS_CONNECTING_FROM_DELAYED_FLIGHTS,0
TOTAL_INT_PASSENGERS_CONNECTING_TO_DELAYED_FLIGHTS,0
OPS_LATEST_IMPLEMENTATION_TIME,2016-12-28T00:55:00Z
