flightNumber,operationDate,Search,origAirportID,destAirportID,aircraftID,dptDateTimeSch,arrDateTimeSch,aircraftSwap,CancelledFlight,dptDateTimeNew,arrDateTimeNew,delayMinutes
605,30/12/2016 00:00,605KHI,KHI,DXB,A0WBY,30/12/2016 00:30,30/12/2016 02:55,,0,30/12/2016 00:30,30/12/2016 02:55,0
862,30/12/2016 00:00,862DXB,DXB,MCT,A0WBY,30/12/2016 04:30,30/12/2016 05:45,,0,30/12/2016 04:30,30/12/2016 05:45,0
863,30/12/2016 00:00,863MCT,MCT,DXB,A0WBY,30/12/2016 06:50,30/12/2016 07:55,,0,30/12/2016 06:50,30/12/2016 07:55,0
163,30/12/2016 00:00,163DXB,DXB,DUB,A0WCA,30/12/2016 10:35,30/12/2016 18:55,,0,30/12/2016 10:35,30/12/2016 18:55,0
164,30/12/2016 00:00,164DUB,DUB,DXB,A0WCA,30/12/2016 20:50,31/12/2016 04:15,,0,30/12/2016 20:50,31/12/2016 04:15,0
368,30/12/2016 00:00,368DXB,DXB,CGK,A0WCB,30/12/2016 15:05,30/12/2016 23:10,,0,30/12/2016 15:05,30/12/2016 23:10,0
859,30/12/2016 00:00,859DXB,DXB,KWI,A0WCC,30/12/2016 16:50,30/12/2016 18:40,,0,30/12/2016 16:50,30/12/2016 18:40,0
860,30/12/2016 00:00,860KWI,KWI,DXB,A0WCC,30/12/2016 19:55,30/12/2016 21:45,,0,30/12/2016 19:55,30/12/2016 21:45,0
839,30/12/2016 00:00,839DXB,DXB,BAH,A0WCD,30/12/2016 12:20,30/12/2016 13:40,,0,30/12/2016 12:20,30/12/2016 13:40,0
840,30/12/2016 00:00,840BAH,BAH,DXB,A0WCD,30/12/2016 14:45,30/12/2016 16:00,,0,30/12/2016 14:45,30/12/2016 16:00,0
945,30/12/2016 00:00,945DXB,DXB,BSR,A0WCD,30/12/2016 04:00,30/12/2016 06:05,,0,30/12/2016 04:00,30/12/2016 06:05,0
946,30/12/2016 00:00,946BSR,BSR,DXB,A0WCD,30/12/2016 07:30,30/12/2016 09:15,,0,30/12/2016 07:30,30/12/2016 09:15,0
793,30/12/2016 00:00,793DXB,DXB,LAD,A0WCE,30/12/2016 06:10,30/12/2016 14:10,,0,30/12/2016 06:10,30/12/2016 14:10,0
794,30/12/2016 00:00,794LAD,LAD,DXB,A0WCE,30/12/2016 17:15,31/12/2016 00:55,,0,30/12/2016 17:15,31/12/2016 00:55,0
35,30/12/2016 00:00,35DXB,DXB,NCL,A0WCF,30/12/2016 03:25,30/12/2016 11:20,,0,30/12/2016 03:25,30/12/2016 11:20,0
36,30/12/2016 00:00,36NCL,NCL,DXB,A0WCF,30/12/2016 13:00,30/12/2016 20:15,,0,30/12/2016 13:00,30/12/2016 20:15,0
59,30/12/2016 00:00,59DXB,DXB,HAM,A0WCG,30/12/2016 04:50,30/12/2016 11:55,,0,30/12/2016 04:50,30/12/2016 11:55,0
60,30/12/2016 00:00,60HAM,HAM,DXB,A0WCG,30/12/2016 14:25,30/12/2016 20:55,,0,30/12/2016 14:25,30/12/2016 20:55,0
751,30/12/2016 00:00,751DXB,DXB,CMN,A0WCH,30/12/2016 03:35,30/12/2016 12:30,,0,30/12/2016 03:35,30/12/2016 12:30,0
752,30/12/2016 00:00,752CMN,CMN,DXB,A0WCH,30/12/2016 13:55,30/12/2016 21:30,,0,30/12/2016 13:55,30/12/2016 21:30,0
584,30/12/2016 00:00,584DXB,DXB,DAC,A0WCI,30/12/2016 12:45,30/12/2016 17:00,,0,30/12/2016 12:45,30/12/2016 17:00,0
585,30/12/2016 00:00,585DAC,DAC,DXB,A0WCI,30/12/2016 18:45,31/12/2016 00:25,,0,30/12/2016 18:45,31/12/2016 00:25,0
612,30/12/2016 00:00,612DXB,DXB,ISB,A0WCI,30/12/2016 02:45,30/12/2016 05:50,,0,30/12/2016 02:45,30/12/2016 05:50,0
613,30/12/2016 00:00,613ISB,ISB,DXB,A0WCI,30/12/2016 07:20,30/12/2016 10:55,,0,30/12/2016 07:20,30/12/2016 10:55,0
133,30/12/2016 00:00,133DXB,DXB,DME,A0WCJ,30/12/2016 06:00,30/12/2016 11:20,,0,30/12/2016 06:00,30/12/2016 11:20,0
134,30/12/2016 00:00,134DME,DME,DXB,A0WCJ,30/12/2016 13:40,30/12/2016 18:55,,0,30/12/2016 13:40,30/12/2016 18:55,0
143,30/12/2016 00:00,143DXB,DXB,MAD,A0WCK,30/12/2016 10:40,30/12/2016 18:50,,0,30/12/2016 10:40,30/12/2016 18:50,0
144,30/12/2016 00:00,144MAD,MAD,DXB,A0WCK,30/12/2016 20:40,31/12/2016 03:40,,0,30/12/2016 20:40,31/12/2016 03:40,0
802,30/12/2016 00:00,802JED,JED,DXB,A0WCK,30/12/2016 02:40,30/12/2016 05:30,,0,30/12/2016 02:40,30/12/2016 05:30,0
352,30/12/2016 00:00,352DXB,DXB,SIN,A0WCL,30/12/2016 17:30,31/12/2016 00:30,,0,30/12/2016 17:30,31/12/2016 00:30,0
640,30/12/2016 00:00,640DXB,DXB,KBL,A0WCL,30/12/2016 05:55,30/12/2016 08:45,,0,30/12/2016 05:55,30/12/2016 08:45,0
641,30/12/2016 00:00,641KBL,KBL,DXB,A0WCL,30/12/2016 12:00,30/12/2016 15:05,,0,30/12/2016 12:00,30/12/2016 15:05,0
879,30/12/2016 00:00,879DXB,DXB,DOH,A0WCL,30/12/2016 00:10,30/12/2016 01:25,,0,30/12/2016 00:10,30/12/2016 01:25,0
880,30/12/2016 00:00,880DOH,DOH,DXB,A0WCL,30/12/2016 02:55,30/12/2016 04:05,,0,30/12/2016 02:55,30/12/2016 04:05,0
775,30/12/2016 00:00,775DXB,DXB,DUR,A0WCM,30/12/2016 06:40,30/12/2016 15:05,,0,30/12/2016 06:40,30/12/2016 15:05,0
776,30/12/2016 00:00,776DUR,DUR,DXB,A0WCM,30/12/2016 17:10,31/12/2016 01:25,,0,30/12/2016 17:10,31/12/2016 01:25,0
713,30/12/2016 00:00,713DXB,DXB,LUN,A0WCN,30/12/2016 05:25,30/12/2016 12:40,,0,30/12/2016 05:25,30/12/2016 12:40,0
713,30/12/2016 00:00,713LUN,LUN,HRE,A0WCN,30/12/2016 14:10,30/12/2016 15:15,,0,30/12/2016 14:10,30/12/2016 15:15,0
714,30/12/2016 00:00,714HRE,HRE,LUN,A0WCN,30/12/2016 17:00,30/12/2016 18:05,,0,30/12/2016 17:00,30/12/2016 18:05,0
714,30/12/2016 00:00,714LUN,LUN,DXB,A0WCN,30/12/2016 19:35,31/12/2016 02:40,,0,30/12/2016 19:35,31/12/2016 02:40,0
44,30/12/2016 00:00,44FRA,FRA,DXB,A0WCO,30/12/2016 08:40,30/12/2016 15:00,,0,30/12/2016 08:40,30/12/2016 15:00,0
524,30/12/2016 00:00,524DXB,DXB,HYD,A0WCO,30/12/2016 17:50,30/12/2016 21:15,,0,30/12/2016 17:50,30/12/2016 21:15,0
525,30/12/2016 00:00,525HYD,HYD,DXB,A0WCO,30/12/2016 22:40,31/12/2016 02:40,,0,30/12/2016 22:40,31/12/2016 02:40,0
334,30/12/2016 00:00,334DXB,DXB,MNL,A0WCP,30/12/2016 06:20,30/12/2016 14:30,,0,30/12/2016 06:20,30/12/2016 14:30,0
335,30/12/2016 00:00,335MNL,MNL,DXB,A0WCP,30/12/2016 16:20,31/12/2016 01:35,,0,30/12/2016 16:20,31/12/2016 01:35,0
620,30/12/2016 00:00,620DXB,DXB,SKT,A0WCQ,30/12/2016 02:25,30/12/2016 05:25,,0,30/12/2016 02:25,30/12/2016 05:25,0
621,30/12/2016 00:00,621SKT,SKT,DXB,A0WCQ,30/12/2016 07:10,30/12/2016 10:45,,0,30/12/2016 07:10,30/12/2016 10:45,0
656,30/12/2016 00:00,656DXB,DXB,MLE,A0WCQ,30/12/2016 22:45,31/12/2016 02:50,,0,30/12/2016 22:45,31/12/2016 02:50,0
849,30/12/2016 00:00,849DXB,DXB,DOH,A0WCQ,30/12/2016 12:50,30/12/2016 14:00,,0,30/12/2016 12:50,30/12/2016 14:00,0
850,30/12/2016 00:00,850DOH,DOH,DXB,A0WCQ,30/12/2016 15:10,30/12/2016 16:20,,0,30/12/2016 15:10,30/12/2016 16:20,0
657,30/12/2016 00:00,657MLE,MLE,DXB,A0WCR,30/12/2016 04:15,30/12/2016 08:25,,0,30/12/2016 04:15,30/12/2016 08:25,0
765,30/12/2016 00:00,765DXB,DXB,JNB,A0WCR,30/12/2016 10:40,30/12/2016 18:50,,0,30/12/2016 10:40,30/12/2016 18:50,0
766,30/12/2016 00:00,766JNB,JNB,DXB,A0WCR,30/12/2016 20:20,31/12/2016 04:15,,0,30/12/2016 20:20,31/12/2016 04:15,0
356,30/12/2016 00:00,356DXB,DXB,CGK,A0WCS,30/12/2016 00:35,30/12/2016 08:45,,0,30/12/2016 00:35,30/12/2016 08:45,0
357,30/12/2016 00:00,357CGK,CGK,DXB,A0WCS,30/12/2016 10:45,30/12/2016 19:15,,0,30/12/2016 10:45,30/12/2016 19:15,0
801,30/12/2016 00:00,801DXB,DXB,JED,A0WCS,30/12/2016 21:40,31/12/2016 00:40,,0,30/12/2016 21:40,31/12/2016 00:40,0
843,30/12/2016 00:00,843DXB,DXB,DOH,A0WCT,30/12/2016 11:10,30/12/2016 12:15,,0,30/12/2016 11:10,30/12/2016 12:15,0
844,30/12/2016 00:00,844DOH,DOH,DXB,A0WCT,30/12/2016 13:40,30/12/2016 14:55,,0,30/12/2016 13:40,30/12/2016 14:55,0
955,30/12/2016 00:00,955DXB,DXB,BEY,A0WCT,30/12/2016 16:55,30/12/2016 21:20,,0,30/12/2016 16:55,30/12/2016 21:20,0
956,30/12/2016 00:00,956BEY,BEY,DXB,A0WCT,30/12/2016 22:55,31/12/2016 02:55,,0,30/12/2016 22:55,31/12/2016 02:55,0
43,30/12/2016 00:00,43DXB,DXB,FRA,A0WCU,30/12/2016 23:20,31/12/2016 06:35,,0,30/12/2016 23:20,31/12/2016 06:35,0
761,30/12/2016 00:00,761DXB,DXB,JNB,A0WCU,30/12/2016 00:40,30/12/2016 08:55,,0,30/12/2016 00:40,30/12/2016 08:55,0
762,30/12/2016 00:00,762JNB,JNB,DXB,A0WCU,30/12/2016 11:25,30/12/2016 19:45,,0,30/12/2016 11:25,30/12/2016 19:45,0
238,30/12/2016 00:00,238BOS,BOS,DXB,A0WCV,30/12/2016 03:20,30/12/2016 15:30,,0,30/12/2016 03:20,30/12/2016 15:30,0
316,30/12/2016 00:00,316DXB,DXB,KIX,A0WCV,30/12/2016 23:20,31/12/2016 08:10,,0,30/12/2016 23:20,31/12/2016 08:10,0
101,30/12/2016 00:00,101DXB,DXB,MXP,A0WCW,30/12/2016 23:45,31/12/2016 06:45,,0,30/12/2016 23:45,31/12/2016 06:45,0
333,30/12/2016 00:00,333MNL,MNL,DXB,A0WCW,30/12/2016 09:40,30/12/2016 19:15,,0,30/12/2016 09:40,30/12/2016 19:15,0
318,30/12/2016 00:00,318DXB,DXB,NRT,A0WCX,30/12/2016 22:55,31/12/2016 08:20,,0,30/12/2016 22:55,31/12/2016 08:20,0
602,30/12/2016 00:00,602DXB,DXB,KHI,A0WCX,30/12/2016 14:10,30/12/2016 16:05,,0,30/12/2016 14:10,30/12/2016 16:05,0
603,30/12/2016 00:00,603KHI,KHI,DXB,A0WCX,30/12/2016 17:30,30/12/2016 19:59,,0,30/12/2016 17:30,30/12/2016 19:59,0
658,30/12/2016 00:00,658DXB,DXB,MLE,A0WCX,30/12/2016 00:35,30/12/2016 04:45,,0,30/12/2016 00:35,30/12/2016 04:45,0
659,30/12/2016 00:00,659MLE,MLE,DXB,A0WCX,30/12/2016 06:10,30/12/2016 10:20,,0,30/12/2016 06:10,30/12/2016 10:20,0
350,30/12/2016 00:00,350DXB,DXB,BKK,A0WCY,30/12/2016 16:15,30/12/2016 22:20,,0,30/12/2016 16:15,30/12/2016 22:20,0
351,30/12/2016 00:00,351BKK,BKK,DXB,A0WCY,30/12/2016 23:45,31/12/2016 06:35,,0,30/12/2016 23:45,31/12/2016 06:35,0
506,30/12/2016 00:00,506DXB,DXB,BOM,A0WCY,30/12/2016 05:35,30/12/2016 08:30,,0,30/12/2016 05:35,30/12/2016 08:30,0
507,30/12/2016 00:00,507BOM,BOM,DXB,A0WCY,30/12/2016 10:00,30/12/2016 13:20,,0,30/12/2016 10:00,30/12/2016 13:20,0
824,30/12/2016 00:00,824DMM,DMM,DXB,A0WCY,30/12/2016 01:15,30/12/2016 02:35,,0,30/12/2016 01:15,30/12/2016 02:35,0
358,30/12/2016 00:00,358DXB,DXB,CGK,A0WCZ,30/12/2016 07:00,30/12/2016 15:10,,0,30/12/2016 07:00,30/12/2016 15:10,0
359,30/12/2016 00:00,359CGK,CGK,DXB,A0WCZ,30/12/2016 17:15,31/12/2016 01:30,,0,30/12/2016 17:15,31/12/2016 01:30,0
808,30/12/2016 00:00,808MED,MED,DXB,A0WCZ,30/12/2016 01:55,30/12/2016 04:20,,0,30/12/2016 01:55,30/12/2016 04:20,0
261,30/12/2016 00:00,261DXB,DXB,GRU,A0WDA,30/12/2016 05:00,30/12/2016 20:15,,0,30/12/2016 05:00,30/12/2016 20:15,0
319,30/12/2016 00:00,319NRT,NRT,DXB,A0WDB,30/12/2016 13:00,31/12/2016 00:50,,0,30/12/2016 13:00,31/12/2016 00:50,0
