,flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration,new_flt_id
2398,FL-EK-0368-20161231-DXB-CGK-0,368,DXB,CGK,2016-12-31 15:05:00,2016-12-31 23:10:00,False,2016-12-31 15:05:00,2016-12-31 23:10:00,,,0,2,289,A0WMS,20161231
2399,FL-EK-0133-20161231-DXB-DME-0,133,DXB,DME,2016-12-31 06:00:00,2016-12-31 11:20:00,False,2016-12-31 06:00:00,2016-12-31 11:20:00,,,0,5,96,A0WCK,20161231
2400,FL-EK-2807-20161228-DXB-MED-0,2807,DXB,MED,2016-12-28 21:15:00,2016-12-29 00:10:00,False,2016-12-28 21:15:00,2016-12-29 00:10:00,,,0,17,317,A0WMI,20161228
2401,FL-EK-0856-20161227-KWI-DXB-0,856,KWI,DXB,2016-12-27 06:55:00,2016-12-27 08:35:00,False,2016-12-27 06:55:00,2016-12-27 08:35:00,27/12/2016 06:55,27/12/2016 08:35,0,35,293,A0WMX,20161227
2402,FL-EK-0062-20161228-HAM-DXB-0,62,HAM,DXB,2016-12-28 20:00:00,2016-12-29 02:15:00,False,2016-12-28 20:00:00,2016-12-29 02:15:00,,,0,42,382,A0WDR,20161228
2403,FL-EK-0122-20161229-IST-DXB-0,122,IST,DXB,2016-12-29 17:05:00,2016-12-29 21:20:00,False,2016-12-29 17:05:00,2016-12-29 21:20:00,,,0,32,273,A0WCX,20161229
2404,FL-EK-0944-20161227-BGW-DXB-0,944,BGW,DXB,2016-12-27 12:50:00,2016-12-27 15:10:00,False,2016-12-27 12:50:00,2016-12-27 15:10:00,,,2,15,173,A0WIH,20161227
2405,FL-EK-0126-20161227-VIE-DXB-0,126,VIE,DXB,2016-12-27 21:00:00,2016-12-28 02:40:00,False,2016-12-27 21:00:00,2016-12-28 02:40:00,,,8,42,304,A0WWB,20161227
2406,FL-EK-0719-20161229-DXB-NBO-0,719,DXB,NBO,2016-12-29 06:35:00,2016-12-29 11:45:00,False,2016-12-29 06:35:00,2016-12-29 11:45:00,,,6,33,293,A0WWG,20161229
2407,FL-EK-0975-20161227-DXB-IKA-0,975,DXB,IKA,2016-12-27 22:25:00,2016-12-28 00:40:00,False,2016-12-27 22:25:00,2016-12-28 00:40:00,,,7,2,43,A0WMN,20161227
2408,FL-EK-0925-20161230-DXB-CAI-0,925,DXB,CAI,2016-12-30 16:50:00,2016-12-30 21:05:00,False,2016-12-30 16:50:00,2016-12-30 21:05:00,,,2,14,276,A0WWS,20161230
2409,FL-EK-0779-20161229-CPT-DXB-0,779,CPT,DXB,2016-12-29 18:00:00,2016-12-30 03:35:00,False,2016-12-29 18:00:00,2016-12-30 03:35:00,,,0,40,365,A0WCP,20161229
2410,FL-EK-0389-20161229-HAN-RGN-0,389,HAN,RGN,2016-12-29 15:45:00,2016-12-29 17:50:00,False,2016-12-29 15:45:00,2016-12-29 17:50:00,,,0,10,290,A0WWQ,20161229
2411,FL-EK-0852-20161227-DOH-DXB-0,852,DOH,DXB,2016-12-27 08:50:00,2016-12-27 09:55:00,False,2016-12-27 08:50:00,2016-12-27 09:55:00,27/12/2016 08:50,27/12/2016 09:55,5,9,162,A0WCR,20161227
